iter	Passed	Remaining
0	27	55471
1	84	84042
2	141	94451
3	198	99034
4	256	102467
5	315	104764
6	371	105669
7	425	106031
8	481	106549
9	537	106880
10	593	107356
11	649	107616
12	704	107743
13	759	107770
14	815	107932
15	871	108074
16	926	108095
17	980	108018
18	1035	107970
19	1089	107856
20	1145	107978
21	1200	107971
22	1255	107942
23	1319	108666
24	1373	108507
25	1428	108441
26	1483	108372
27	1538	108356
28	1593	108288
29	1649	108334
30	1705	108317
31	1743	107218
32	1797	107149
33	1853	107155
34	1874	105257
35	1931	105358
36	1988	105481
37	2044	105581
38	2104	105804
39	2159	105839
40	2217	105948
41	2274	106037
42	2329	106041
43	2385	106029
44	2442	106114
45	2499	106189
46	2556	106224
47	2612	106226
48	2667	106199
49	2722	106196
50	2779	106208
51	2835	106226
52	2892	106257
53	2947	106232
54	3002	106196
55	3059	106222
56	3120	106376
57	3175	106341
58	3231	106312
59	3288	106316
60	3354	106613
61	3410	106616
62	3468	106633
63	3524	106624
64	3580	106591
65	3638	106616
66	3694	106586
67	3751	106597
68	3810	106642
69	3867	106637
70	3925	106660
71	3981	106618
72	4039	106628
73	4097	106652
74	4153	106610
75	4210	106600
76	4267	106568
77	4323	106528
78	4380	106524
79	4438	106514
80	4495	106499
81	4563	106746
82	4619	106700
83	4674	106629
84	4731	106606
85	4789	106588
86	4846	106566
87	4905	106582
88	4960	106517
89	5016	106461
90	5076	106502
91	5132	106450
92	5189	106409
93	5244	106348
94	5299	106277
95	5357	106251
96	5414	106215
97	5471	106182
98	5526	106121
99	5583	106085
100	5642	106084
101	5701	106100
102	5757	106045
103	5814	106001
104	5871	105972
105	5928	105935
106	5985	105899
107	6042	105853
108	6100	105829
109	6156	105772
110	6211	105711
111	6278	105830
112	6334	105780
113	6392	105748
114	6447	105676
115	6505	105663
116	6563	105634
117	6618	105564
118	6675	105521
119	6739	105578
120	6796	105538
121	6852	105488
122	6907	105414
123	6963	105345
124	7018	105280
125	7075	105231
126	7131	105174
127	7188	105133
128	7245	105088
129	7301	105022
130	7358	104979
131	7414	104928
132	7471	104884
133	7527	104830
134	7585	104789
135	7643	104757
136	7698	104685
137	7755	104636
138	7812	104591
139	7866	104512
140	7924	104485
141	7981	104429
142	8037	104374
143	8105	104476
144	8162	104418
145	8217	104355
146	8273	104290
147	8330	104239
148	8388	104208
149	8445	104156
150	8503	104124
151	8561	104088
152	8629	104176
153	8684	104103
154	8740	104035
155	8797	103995
156	8853	103928
157	8910	103885
158	8968	103837
159	9023	103769
160	9079	103709
161	9134	103633
162	9188	103558
163	9244	103490
164	9299	103421
165	9356	103368
166	9411	103300
167	9466	103227
168	9536	103320
169	9592	103261
170	9648	103204
171	9705	103147
172	9761	103083
173	9818	103036
174	9876	102993
175	9931	102921
176	9986	102850
177	10040	102778
178	10095	102703
179	10149	102626
180	10206	102569
181	10260	102496
182	10317	102438
183	10372	102374
184	10429	102317
185	10485	102259
186	10541	102203
187	10597	102145
188	10652	102074
189	10708	102012
190	10764	101950
191	10830	101982
192	10886	101923
193	10940	101848
194	10996	101790
195	11066	101858
196	11123	101807
197	11180	101755
198	11235	101688
199	11293	101638
200	11349	101580
201	11405	101516
202	11461	101455
203	11520	101428
204	11577	101369
205	11633	101311
206	11689	101252
207	11755	101281
208	11813	101234
209	11868	101163
210	11927	101128
211	11982	101056
212	12038	100997
213	12092	100924
214	12147	100853
215	12205	100806
216	12259	100733
217	12316	100676
218	12374	100632
219	12430	100575
220	12487	100517
221	12542	100456
222	12599	100401
223	12659	100372
224	12712	100290
225	12768	100227
226	12824	100167
227	12879	100099
228	12935	100037
229	12993	99991
230	13055	99976
231	13109	99902
232	13164	99833
233	13219	99770
234	13277	99725
235	13334	99670
236	13389	99601
237	13445	99539
238	13501	99480
239	13556	99414
240	13614	99366
241	13675	99344
242	13739	99344
243	13797	99294
244	13853	99233
245	13909	99177
246	13967	99129
247	14025	99083
248	14081	99020
249	14137	98965
250	14195	98914
251	14251	98855
252	14307	98794
253	14365	98749
254	14421	98686
255	14477	98626
256	14533	98569
257	14588	98500
258	14644	98439
259	14700	98379
260	14765	98379
261	14821	98318
262	14877	98257
263	14933	98200
264	14988	98133
265	15045	98077
266	15101	98016
267	15157	97957
268	15213	97899
269	15269	97834
270	15325	97777
271	15380	97710
272	15436	97651
